,P_0,K_r12,K_d,K_dd,K_g,h_init,misfit,D_mean,RMSD,cluster
2548,3.0979875e-07,1.019055e-06,0.001334341,0.001601086,0.003936382,0.675135,-5.6728265444,0.2073479565980473,0.016182739147883016,2
2564,2.95633e-05,3.138422e-05,0.0010718,0.02778674,0.9005023999999999,0.502492,-5.4263999326,0.2601021619264152,0.01530344943202104,4
2575,2.8148325e-05,3.023999e-07,0.0002450515,0.03139574,0.7730986,1.9884080000000002,-5.5716188788,0.24622358764475907,0.014209399781603193,3
2583,2.6256275e-07,9.471086e-07,0.0012530389999999998,0.002209871,0.004075609,0.6616733,-5.5261109647,0.20282800581719607,0.019271805056829124,2
2587,3.01849e-07,8.532130999999999e-07,0.00115474,0.00251043,0.003811906,0.6646996999999999,-5.4446004867,0.20567465386522435,0.020600228234498388,2
2588,2.5032924999999997e-07,8.369155000000001e-07,0.0013740879999999999,0.002362173,0.003639307,0.7045925000000001,-5.4438137631,0.20741944420145306,0.020730509740438715,2
2605,3.18237e-07,1.49721e-06,0.0014943170000000002,0.0020715079999999997,0.0030377790000000004,0.6938833999999999,-5.4645742663,0.20139647247456915,0.02048411527582834,2
2608,2.837005e-05,3.2226880000000003e-07,0.0001556203,0.03222482,0.7088729,2.107253,-5.4547186836,0.24428547499371506,0.01603649037222376,3
2613,2.8504325e-05,1.47912e-07,0.0001430325,0.0338536,0.7192475,2.101162,-5.4398935149000005,0.2416184824384495,0.016290572886133406,3
2641,3.2073175e-05,3.9839959999999995e-05,0.0013385439999999999,0.02850309,0.7339936,0.2983456,-5.5904683059,0.2602435877611652,0.012900025572200432,4
2642,3.1037575e-05,3.547315e-05,0.001381533,0.02454951,0.7265604999999999,0.1948703,-5.4921442444,0.2645076936838207,0.01444187199321561,4
2666,2.49022475e-05,2.9290240000000002e-05,0.001658283,0.0152664,0.3917364,0.09706061,-5.5283452689,0.2621789116781501,0.01438916709397822,4
2698,4.739035e-06,2.507979e-06,0.004001115,0.0028681659999999997,0.0007229296000000001,0.367133,-5.4608439085,0.2073601804440515,0.019986086532220993,1
